Country,Region,"Expenditures 
(US Dollars)",Total Libraries,Total Librarians,Total Volumes,Total Users
Macao,Asia,,4,8,1137778,38854
Macedonia,Europe,"$3,27,207.00",1099,469,11211151,3135267
Madagascar,Africa,"$14,841.00",375,1,1542720,77264
Malawi,Africa,"$9,44,346.00",97,85,2575036,72500
Malaysia,Asia,"$8,75,78,838.00",10176,542,15485584,5714291
Maldives,Asia,"$8,161.00",312,7,146743,116000
Mali,Africa,"$2,112.00",506,16,388600,1526000
Malta,Europe,"$10,74,407.00",139,13,1983710,242648
Marshall Islands,Oceania,,12,,95800,
Martinique,Latin America,,6,,440091,3447
Mauritania,Africa,,38,,272500,
Mauritius,Africa,"$6,10,649.00",113,29,1275862,260449
Mexico,Latin America,"$18,17,44,087.00",13308,11879,75662394,57309733
Micronesia,Oceania,,24,,107800,
Moldova,Europe,"$12,28,728.00",2899,1714,30216100,153661
Monaco,Europe,"$3,39,872.00",13,14,552000,29600
Mongolia,Asia,,829,333,14586714,864300
Montenegro,Europe,,258,,1626172,
Montserrat,Latin America,,1,,15000,
Morocco,Africa,,735,207,3443428,261344
Mozambique,Africa,,141,,378000,
Myanmar,Asia,"$9,564.00",3745,,15314120,11793
Namibia,Africa,"$16,27,755.00",1097,115,886920,191568
Nepal,Asia,"$2,00,819.00",3340,127,974183,92058
Netherlands,Europe,"$1,10,21,69,201.00",702,5361,85793807,5591545
New Caledonia,Oceania,"$85,71,877.00",12,1,505580,700
New Zealand,Oceania,"$24,32,68,295.00",2992,2066,27325387,1723375
Nicaragua,Latin America,"$17,72,571.00",456,184,1256331,99948
Niger,Africa,,13,,167800,1392
Nigeria,Africa,"$66,75,461.00",269,1220,11082019,330936
Norway,Europe,"$41,96,28,603.00",4009,3488,44638198,2074580
Oman,Middle East,"$2,51,03,260.00",1051,66,717474,385085
Pakistan,Asia,"$13,50,651.00",9106,185,7640141,346700
Palau,Asia,,25,,64060,
Palestine,Middle East,,1086,,995100,
Panama,Latin America,,739,,1037400,355023
Papua New Guinea,Oceania,"$18,49,154.00",185,1,2109090,53595
Paraguay,Latin America,"$7,18,690.00",285,137,716469,504374
Peru,Latin America,"$31,10,402.00",2644,88,11625034,78263
Philippines,Asia,"$6,39,891.00",1635,69,8588851,17016049
Poland,Europe,"$27,84,80,321.00",24945,44651,286558256,20564277
Portugal,Europe,"$7,77,83,835.00",1413,2722,22582772,3206805
Puerto Rico,Latin America,"$3,83,48,570.00",843,437,65403682,957414
Qatar,Middle East,"$21,09,341.00",171,27,1256400,83043
Réunion,Africa,"$6,42,049.00",10,4,457600,3000
Romania,Europe,"$10,44,65,496.00",11787,15691,123227682,5695820
Russia,Europe,"$5,37,54,058.00",113867,144123,1986072091,60104774
Rwanda,Africa,"$1,83,434.00",28,1,398278,1841
Saint Kitts and Nevis,Latin America,,5,,2950,
Saint Lucia,Latin America,,37,,204520,
Saint Vincent and the Grenadines,Latin America,"$10,370.00",26,6,334787,53500
Samoa,Oceania,,41,,177500,
San Marino,Europe,"$10,750.00",27,2,371477,1616
São Tomé and Príncipe,Africa,,5,,48000,
Saudi Arabia,Middle East,"$61,91,937.00",5317,268,15680643,485620
Senegal,Africa,"$3,31,755.00",66,98,989576,11500
Serbia,Europe,,2095,2745,14756191,799517
Seychelles,Africa,"$2,95,134.00",45,8,290155,60642
Sierra Leone,Africa,,47,14,866370,31500
Singapore,Asia,"$7,06,12,183.00",429,351,22141600,7053742
Slovakia,Europe,"$1,67,91,518.00",7533,2381,48915847,1356808
Slovenia,Europe,"$6,66,74,576.00",1182,1864,30070000,981446
Solomon Islands,Oceania,"$84,400.00",33,16,165500,4499
Somalia,Africa,,4,,118000,1162
South Africa,Africa,"$48,47,05,816.00",11406,2341,52756234,
Spain,Europe,"$70,42,95,300.00",26604,7725,164390537,18753442
Sri Lanka,Asia,"$10,43,907.00",7241,193,6921395,4127206
Sudan,Africa,,4851,,2579200,20000
Suriname,Latin America,,206,24,1975746,40170
Swaziland,Africa,"$1,49,914.00",45,61,857029,46000
Sweden,Europe,"$43,58,17,849.00",6414,5919,105871504,4508392
Switzerland,Europe,"$65,19,21,548.00",2598,3114,107920093,2448003
Syria,Middle East,"$18,71,657.00",1760,24,1757205,751990
Taiwan,Asia,"$5,92,64,831.00",2787,3473,67488825,26444220
Tajikistan,Asia,,2019,76,7360174,4750
Tanzania,Africa,,221,1,2936750,3118545
Thailand,Asia,"$2,01,66,989.00",34751,500,13563180,3456000
Timor-Leste,Asia,,6,,5000,
Togo,Africa,"$2,30,151.00",52,31,548345,35796
Tonga,Oceania,,18,,66700,3288
Trinidad and Tobago,Latin America,,191,205,2054895,
Tunisia,Africa,"$48,23,00,000.00",947,274,7003300,100455
Turkey,Europe,"$27,98,27,681.00",19631,14693,159104336,13166534
Turkmenistan,Asia,,12,,9945930,
Turks and Caicos Islands,Latin America,,2,,13000,
Tuvalu,Oceania,,5,,23100,
Uganda,Africa,"$1,28,156.00",56,72,7788625,494307
Ukraine,Europe,"$23,26,858.00",39177,49219,414804767,18167200
United Arab Emirates,Middle East,"$55,02,452.00",1364,35,3453745,50000
United Kingdom,Europe,"$4,58,52,12,280.00",8447,21286,390287808,38498469
United States ,North America,"$21,75,92,80,324.00",101349,157685,2580863485,232107561
Uruguay,Latin America,"$10,09,649.00",373,223,4871091,301468
Uzbekistan,Asia,"$68,289.00",8971,1060,69912137,263000
Vanuatu,Oceania,,66,,22400,400
Venezuela,Latin America,"$1,07,13,583.00",924,222,12311871,1903801
Vietnam,Asia,,23962,674,21814650,
"Virgin Islands, British",Latin America,,7,,36000,8815
"Virgin Islands, U.S.",Latin America,,45,,495810,
Yemen,Middle East,,12,,360500,
Zambia,Africa,"$6,050.00",247,,4226783,950
Zimbabwe,Africa,"$1,07,316.00",174,12,2048707,208487
